"consultant_name";"specialisation";"total_effeciency"
"M. Maiya";"Orthopedic Surgeon";0.557452
"M. Modi";"Orthopedic Surgeon";0.547448
"M.B. Agarwal";"Cardiologist";0.764039
"M.C.Gupta";"Dermatologist";0.769838
"M.Mahapatra";"Urologist";0.460661
"M.S. Jawahar";"Dermatologist";0.967799
"MPMC Manjunath";"Opthalmologist";0.459854
"Madhuchanda Kar";"Gynecologist";0.730712
"Madhulika Kabra";"Gynecologist";0.700636
"Man Mohan";"Orthopedic Surgeon";0.650217
"Man Mohan Mehndiratta";"Opthalmologist";0.582979
"Manotosh Panja";"Neurologist";0.547448
"Mansoor Ahmed";"Cardiologist";0.565522
"Milind Y";"Neurologist";0.606729
"Mohit Bhatt";"Physiotherapist";0.609263
"N.K. Graver ";"Dermatologist";0.670383
"N.K.Hase";"Dermatologist";0.667927
"N.Modi";"Opthalmologist";0.617781
"N.O. Bansal";"Physiotherapist";0.591919
"N.karthik";"Gynecologist";0.376377
"Nagaraja Rao";"Neurologist";0.600689
"Narendar";"Dermatologist";0.66127
"Naresh";"Dermatologist";0.784205
"Narinder K";"Orthopedic Surgeon";0.683718
"Narinder K. Mehra";"Opthalmologist";0.630478
"Naveen Kumar ";"Dermatologist";0.569644
"Naveet W";"Physiotherapist";0.580332
"Neelam Marwaha";"Opthalmologist";0.571927
"Neelam Md";"Orthopedic Surgeon";0.606112
"Neerja Bhatia";"Physiotherapist";0.606733
"Nikhil Prakash";"Neurologist";0.501151
"Niranjan P. Moulik";"Opthalmologist";0.547813
"Nishigandha";"Physiotherapist";0.678536
"Nitin";"Dermatologist";0.606729
"O.C. Abraham";"Cardiologist";0.683718
"O.P. Kalra";"Gynecologist";0.444849
"P. Advaitham";"Cardiologist";0.50396
"P.D. Gulati";"Dermatologist";0.547813
"P.D.Khandelwal";"Gynecologist";0.709133
"P.K. Maheshwari";"Orthopedic Surgeon";0.438639
"P.P. Bapsy";"Physiotherapist";0.653975
"P.S. Mathuranath";"Orthopedic Surgeon";0.662914
"Pallavi Bhargava";"Physiotherapist";0.29176
"Parag Aland";"Cardiologist";0.545804
"Philip Abraham";"Cardiologist";0.688283
"Piyush";"Dermatologist";0.547448
"Prabha Adhikari";"Cardiologist";0.602164
"Prabhash Chandra";"Physiotherapist";0.648299
"Prabhat Singh";"Orthopedic Surgeon";0.532469
"Prabhat Singh Malik";"Opthalmologist";0.667927
"Pradeep Bambery";"Cardiologist";0.614973
"Prakash Kothari";"Urologist";0.624803
"Pramod Kumar";"Neurologist";0.606729
"Prasant Raghab Mohapatra";"Opthalmologist";0.610486
"Prasanta Kumar";"Physiotherapist";0.356637
"Prashant Maruthi";"Orthopedic Surgeon";0.589019
"Prashant Mathur";"Opthalmologist";0.586737
"Prashant P. Joshi";"Gynecologist";0.479846
"Praveen Aggarwal";"Cardiologist";0.244929
"Praveen Mathew";"Opthalmologist";0.63839
"Praveen Matti";"Orthopedic Surgeon";0.607093
"Praveen Namboothiri";"Neurologist";0.562623
"Premashis Kar";"Gynecologist";0.630843
"Pritam ";"Dermatologist";0.734671
"Priya Jagia";"Dermatologist";0.613385
"Purvish M";"Neurologist";0.409435
"Pushpa Yadav";"Physiotherapist";0.532274
"R. Billimoria";"Physiotherapist";0.755886
"R. K. Ravi Krishna";"Orthopedic Surgeon";0.782606
"R. Narasimhan";"Neurologist";0.633125
"R.K.Mani";"Opthalmologist";0.606729
"R.Krishna Kumar";"Urologist";0.604446
"R.V. Jayakumar";"Dermatologist";0.605506
"Ragavendra Baliga";"Cardiologist";0.571927
"Rahul Ramnik";"Physiotherapist";0.525791
"Raj Kubba";"Urologist";0.54553
"Raja Babu";"Cardiologist";0.746946
"Rajat Kumar";"Urologist";0.595681
"Rajeev";"Dermatologist";0.508972
"Rajvir Bhalwar";"Physiotherapist";0.54553
"Rakesh K";"Dermatologist";0.672824
"Rakesh Kochhar";"Urologist";0.766938
"Rakesh Kumar";"Urologist";0.781922
"Rakesh Parikh";"Neurologist";0.648378
"Rakshit Kumar";"Urologist";0.746946
"Rama Walia";"Physiotherapist";0.837238
"Ramchandra D. Lele";"Urologist";0.606364
"Ramesh Balwant";"Neurologist";0.607093
"Ramnath Dube";"Orthopedic Surgeon";0.606364
"Ramnath Misra";"Opthalmologist";0.767555
"Randeep Guleria";"Dermatologist";0.596046
"Ranjith Nair";"Neurologist";0.685019
"Reema Bansal";"Physiotherapist";0.624186
"Rohini";"Dermatologist";0.62672
"Rohini Kelkar";"Gynecologist";0.700636
"S.H. Advani";"Cardiologist";0.363489
"S.K. Acharya";"Cardiologist";0.501594
"S.K. Bhattacharya";"Physiotherapist";0.624186
"S.K. Bichile";"Physiotherapist";0.663109
"S.K.Jindal";"Gynecologist";0.665644
"S.Lahiri";"Urologist";0.644177
"S.P.Mathuranath";"Opthalmologist";0.582979
"S.V. Khadilkar";"Gynecologist";0.718885
"S.V. Madhu";"Orthopedic Surgeon";0.600689
"Sachin k";"Dermatologist";0.39646
"Sadhna Joglekar";"Gynecologist";0.648378
"Sandeep B";"Physiotherapist";0.547813
"Sandhya A. Kamath";"Gynecologist";0.597959
"Sanjay Jain";"Dermatologist";0.654339
"Sanjay K. Agarwal";"Cardiologist";0.550178
"Sashank R.Joshi";"Gynecologist";0.808145
"Satish Kumar ";"Neurologist";0.565158
"Shilpa S.Joshi";"Gynecologist";0.5572
"Shiva Narang";"Neurologist";0.569918
"Shobna J";"Physiotherapist";0.578414
"Shubha R";"Neurologist";0.574703
"Shyam S. Kothari";"Urologist";0.598406
"Shyam Swarup";"Cardiologist";0.621538
"Sita Naik";"Neurologist";0.704933
"Smrithi Mandhana";"Orthopedic Surgeon";0.482745
"Soneil";"Dermatologist";0.684778
"Sourabh Malviya";"Opthalmologist";0.606364
"Sri Raman Vinay";"Orthopedic Surgeon";0.624438
"Sriman Narayan";"Opthalmologist";0.565522
"Subash";"Dermatologist";0.681262
"Subhasish Kamal Guha";"Gynecologist";0.621986
"Sudeep";"Dermatologist";0.637657
"Sukumar Mukherjee";"Opthalmologist";0.728631
"Suman Kirti";"Gynecologist";0.637657
"Sundeep Khanna";"Gynecologist";0.606729
"Sunil Kumar";"Urologist";0.56744
"Sunita Maheshwari";"Urologist";0.547448
"Sunitha Maheshwari";"Orthopedic Surgeon";0.580697
"Surender Kashyap";"Gynecologist";0.602164
"Swapan Kumar";"Neurologist";0.641895
"T.S. Nagesh";"Neurologist";0.602164
"Talha Noor";"Neurologist";0.624186
"Tanvi Pal";"Neurologist";0.508972
"U.K. Misra";"Orthopedic Surgeon";0.606364
"U.L. Wagholikar";"Physiotherapist";0.501594
"U.V. Mani";"Orthopedic Surgeon";0.606112
"Uday Khopkar";"Gynecologist";0.78877
"Uma Kumar";"Urologist";0.623821
"Upendra Kaul";"Gynecologist";0.704933
"Usha K";"Physiotherapist";0.598042
"V. Balakrishnan";"Cardiologist";0.624186
"V.K. Bahl";"Cardiologist";0.635212
"V.K. Vijayan";"Physiotherapist";0.613133
"V.Mohan";"Opthalmologist";0.792275
"V.R. Joshi";"Gynecologist";0.645652
"Vaibhav";"Dermatologist";0.56928
"Vaidehi Abhinay";"Orthopedic Surgeon";0.495828
"Vandana Midha";"Opthalmologist";0.720802
"Vara Prasad";"Dermatologist";0.707417
"Veena Mittal";"Opthalmologist";0.547813
"Velu Nair";"Neurologist";0.56928
"Venu Gopal Jhanwar";"Dermatologist";0.518322
"Vibhu Mendiratta";"Opthalmologist";0.641895
"Vidhyadhar";"Physiotherapist";0.661887
"Vijay Kher";"Gynecologist";0.438387
"Vijayalakshmi B";"Physiotherapist";0.639165
"Vikas Agarwal";"Cardiologist";0.501151
"Vikram Mathew";"Opthalmologist";0.720802
"Vikram Mathews";"Orthopedic Surgeon";0.545783
"Vikram R. Lele";"Urologist";0.482745
"Vineet Kaur";"Gynecologist";0.532026
"Vinod Kumar";"Urologist";0.546226
"Vipul Mohan";"Opthalmologist";0.62672
"Vital Prasad";"Orthopedic Surgeon";0.590494
"Vivek Arya";"Cardiologist";0.693465
"Vivek Kumar";"Urologist";0.683101
"Y.K. Amdekar";"Cardiologist";0.673967
"Yash Pal";"Neurologist";0.672049
"Yash Y";"Orthopedic Surgeon";0.470823
"Yash Y. Lokhandwala";"Urologist";0.589019
" Ajay Kumar";"Urologist";0.586737
" Ashok L. Kirpalani";"Gynecologist";0.598406
"A. Muruganathan";"Neurologist";0.562623
"A. Pandey";"Neurologist";0.582615
"A.C. Ammini";"Cardiologist";0.606729
"A.C. Anand";"Cardiologist";0.701175
"A.K. Agarwal";"Cardiologist";0.56928
"A.K. Meena";"Orthopedic Surgeon";0.606729
"A.K.Hooda";"Dermatologist";0.458548
"A.K.Jaiwal";"Dermatologist";0.348484
"A.K.Meena";"Opthalmologist";0.647935
"A.K.Meenakshi";"Opthalmologist";0.547813
"A.N. Malaviya";"Urologist";0.565522
"A.S. Narula";"Neurologist";0.607093
"Abdul Hamid";"Physiotherapist";0.786487
"Abhinay Bigile";"Urologist";0.589019
"Abhinay pk";"Opthalmologist";0.718885
"Abhishek Kochar";"Gynecologist";0.647935
"Abraham Koshy";"Urologist";0.739489
"Aditya P Misra";"Opthalmologist";0.784205
"Aditya Prakash";"Orthopedic Surgeon";0.529739
"Aijaz H. Mansoor";"Orthopedic Surgeon";0.606729
"Alan F. Almeida";"Cardiologist";0.363489
"Alladi Mohan";"Opthalmologist";0.479846
"Ambrish Mithal";"Opthalmologist";0.624186
"Amit Misra P";"Opthalmologist";0.854695
"Amit Mittal";"Opthalmologist";0.56928
"Amit Vora";"Physiotherapist";0.64153
"Amita Aggarwal";"Cardiologist";0.629861
"Amith Kulkarni";"Urologist";0.668291
"Amod Gupta";"Dermatologist";0.565522
"Anath Joshi";"Gynecologist";0.504155
"Anil";"Dermatologist";0.528073
"Anil Bhansali";"Physiotherapist";0.356637
"Anita M";"Physiotherapist";0.792275
"Ankit";"Dermatologist";0.588244
"Ankur Gupta";"Dermatologist";0.529374
"Anoop Misra";"Opthalmologist";0.598406
"Anuj Kumar Bansal";"Physiotherapist";0.62672
"Aparna Agrawal";"Cardiologist";0.499754
"Aparna Palit";"Neurologist";0.595676
"Apoorva Pauranik";"Neurologist";0.663109
"Arohi Kumar";"Urologist";0.730712
"Arun C. Inamadar";"Dermatologist";0.895902
"Aryan Sunny";"Orthopedic Surgeon";0.35892
"Ashish Kumar";"Neurologist";0.690981
"Ashit M";"Physiotherapist";0.547813
"Ashok A";"Orthopedic Surgeon";0.701175
"Ashok A. Mahashur";"Urologist";0.565522
"Ashok Kumar";"Cardiologist";0.686001
"Ashok Panagariya";"Neurologist";0.837238
"Ashu Seith";"Physiotherapist";0.668291
"Ashutosh";"Dermatologist";0.613133
"Ashutosh Nath";"Cardiologist";0.610851
"Atma Ram Bansal";"Physiotherapist";0.667927
"B.G. Mantur";"Orthopedic Surgeon";0.571927
"B.Maaya";"Urologist";0.606364
"B.R. Mittal";"Orthopedic Surgeon";0.438639
"Bandyopadhyay";"Cardiologist";0.643292
"Bashir Ahmad Laway";"Urologist";0.607346
"Beena Bansal";"Physiotherapist";0.606729
"Bhavani";"Dermatologist";0.667927
"Bindu Kulshreshtha";"Urologist";0.664343
"Binoy J";"Neurologist";0.596451
"Bishav M D";"Orthopedic Surgeon";0.624803
"Bishav Mohan";"Opthalmologist";0.748864
"Bukke Harsha Vardhan";"Opthalmologist";0.545166
"Bushan Kumar";"Urologist";0.803137
"C. Adithan";"Cardiologist";0.633125
"C.N. Manjunath";"Orthopedic Surgeon";0.630478
"C.V. Harinarayan";"Dermatologist";0.55263
"D. Majili";"Orthopedic Surgeon";0.381389
"D. Nagaraja";"Neurologist";0.582979
"D.G.Jain";"Dermatologist";0.85829
"D.Maji";"Urologist";0.8731
"D.P. Bhadoria";"Physiotherapist";0.606364
"Deb Sankar Guin";"Dermatologist";0.659521
"Deepak A";"Cardiologist";0.596046
"Deepak Khandelwal";"Gynecologist";0.486888
"Dhanpat Kumar Kochar";"Gynecologist";0.530356
"Dharamvir Singh";"Cardiologist";0.711863
"Dheeraj Gupta";"Dermatologist";0.599881
"Dilip Mathai";"Opthalmologist";0.607093
"Dilip Mathi";"Orthopedic Surgeon";0.580697
"Donald Kikta";"Gynecologist";0.808145
"Eesh Bhatia";"Physiotherapist";0.739489
"Falguni S";"Neurologist";0.676249
"Farah F. Jijina";"Gynecologist";0.683023
"G. Narsimulu";"Neurologist";0.582615
"Gautam Ahluwalia";"Cardiologist";0.667927
"George T. John";"Gynecologist";0.547448
"Ghan Shyam";"Neurologist";0.683718
"Girisha";"Gynecologist";0.567805
"Gopi Krishna";"Neurologist";0.580697
"Govind Babu";"Cardiologist";0.369699
"Govind K";"Orthopedic Surgeon";0.688283
"Govind Makharia";"Urologist";0.613133
"Gurleen Kaur";"Gynecologist";0.588244
"Gurpreet Singh";"Physiotherapist";0.599881
"Gurudas Khilnani";"Gynecologist";0.420487
"H.S. Bawaskar";"Physiotherapist";0.613133
"Hemanth Malhotra";"Opthalmologist";0.644177
"Inder S. Anand";"Cardiologist";0.538235
"Ishwar Chandra";"Orthopedic Surgeon";0.29176
"Ishwar Malav";"Urologist";0.78983
"J. Kalita";"Gynecologist";0.784205
"J.C. Mohan";"Orthopedic Surgeon";0.44067
"J.C.Mohaneswar";"Opthalmologist";0.72659
"J.S.Kulakarni";"Urologist";0.541408
"Jagriti Bhatia";"Physiotherapist";0.749846
"Jamal Ahmad";"Cardiologist";0.469684
"Jatin P.Kothari";"Urologist";0.711863
"Jaya Kumar";"Urologist";0.598042
"Jina B";"Physiotherapist";0.680578
"Jyotsana";"Gynecologist";0.244655
"K. Pavithran";"Neurologist";0.565522
"K.M. Mohandas";"Opthalmologist";0.735529
"K.P.KMaheswari";"Urologist";0.54553
"Kalyan Virat";"Orthopedic Surgeon";0.635212
"Kaushal Madan";"Urologist";0.672049
"Kaushal Madanapalli";"Orthopedic Surgeon";0.583344
"Kirti C";"Neurologist";0.600689
"Kumar Banerjee";"Cardiologist";0.595676
"Lalit Kumar";"Urologist";0.600689
"Lata S. Bichile";"Physiotherapist";0.589019
"Lekha Adik";"Neurologist";0.752179
"Loke Virat";"Orthopedic Surgeon";0.735529
"M A Kiriti";"Neurologist";0.469684
"M. H.Mansoor";"Opthalmologist";0.612768
"M. Joshi Jyotsna";"Gynecologist";0.667927
"M. Mahapatra";"Orthopedic Surgeon";0.666009
"M. Maiya";"Orthopedic Surgeon";0.557452
"M. Modi";"Orthopedic Surgeon";0.547448
"M.B. Agarwal";"Cardiologist";0.764039
"M.C.Gupta";"Dermatologist";0.769838
"M.Mahapatra";"Urologist";0.460661
"M.S. Jawahar";"Dermatologist";0.967799
"MPMC Manjunath";"Opthalmologist";0.459854
"Madhuchanda Kar";"Gynecologist";0.730712
"Madhulika Kabra";"Gynecologist";0.700636
"Man Mohan";"Orthopedic Surgeon";0.650217
"Man Mohan Mehndiratta";"Opthalmologist";0.582979
"Manotosh Panja";"Neurologist";0.547448
"Mansoor Ahmed";"Cardiologist";0.565522
"Milind Y";"Neurologist";0.606729
"Mohit Bhatt";"Physiotherapist";0.609263
"N.K. Graver ";"Dermatologist";0.670383
"N.K.Hase";"Dermatologist";0.667927
"N.Modi";"Opthalmologist";0.617781
"N.O. Bansal";"Physiotherapist";0.591919
"N.karthik";"Gynecologist";0.376377
"Nagaraja Rao";"Neurologist";0.600689
"Narendar";"Dermatologist";0.66127
"Naresh";"Dermatologist";0.784205
"Narinder K";"Orthopedic Surgeon";0.683718
"Narinder K. Mehra";"Opthalmologist";0.630478
"Naveen Kumar ";"Dermatologist";0.569644
"Naveet W";"Physiotherapist";0.580332
"Neelam Marwaha";"Opthalmologist";0.571927
"Neelam Md";"Orthopedic Surgeon";0.606112
"Neerja Bhatia";"Physiotherapist";0.606733
"Nikhil Prakash";"Neurologist";0.501151
"Niranjan P. Moulik";"Opthalmologist";0.547813
"Nishigandha";"Physiotherapist";0.678536
"Nitin";"Dermatologist";0.606729
"O.C. Abraham";"Cardiologist";0.683718
"O.P. Kalra";"Gynecologist";0.444849
"P. Advaitham";"Cardiologist";0.50396
"P.D. Gulati";"Dermatologist";0.547813
"P.D.Khandelwal";"Gynecologist";0.709133
"P.K. Maheshwari";"Orthopedic Surgeon";0.438639
"P.P. Bapsy";"Physiotherapist";0.653975
"P.S. Mathuranath";"Orthopedic Surgeon";0.662914
"Pallavi Bhargava";"Physiotherapist";0.29176
"Parag Aland";"Cardiologist";0.545804
"Philip Abraham";"Cardiologist";0.688283
"Piyush";"Dermatologist";0.547448
"Prabha Adhikari";"Cardiologist";0.602164
"Prabhash Chandra";"Physiotherapist";0.648299
"Prabhat Singh";"Orthopedic Surgeon";0.532469
"Prabhat Singh Malik";"Opthalmologist";0.667927
"Pradeep Bambery";"Cardiologist";0.614973
"Prakash Kothari";"Urologist";0.624803
"Pramod Kumar";"Neurologist";0.606729
"Prasant Raghab Mohapatra";"Opthalmologist";0.610486
"Prasanta Kumar";"Physiotherapist";0.356637
"Prashant Maruthi";"Orthopedic Surgeon";0.589019
"Prashant Mathur";"Opthalmologist";0.586737
"Prashant P. Joshi";"Gynecologist";0.479846
"Praveen Aggarwal";"Cardiologist";0.244929
"Praveen Mathew";"Opthalmologist";0.63839
"Praveen Matti";"Orthopedic Surgeon";0.607093
"Praveen Namboothiri";"Neurologist";0.562623
"Premashis Kar";"Gynecologist";0.630843
"Pritam ";"Dermatologist";0.734671
"Priya Jagia";"Dermatologist";0.613385
"Purvish M";"Neurologist";0.409435
"Pushpa Yadav";"Physiotherapist";0.532274
"R. Billimoria";"Physiotherapist";0.755886
"R. K. Ravi Krishna";"Orthopedic Surgeon";0.782606
"R. Narasimhan";"Neurologist";0.633125
"R.K.Mani";"Opthalmologist";0.606729
"R.Krishna Kumar";"Urologist";0.604446
"R.V. Jayakumar";"Dermatologist";0.605506
"Ragavendra Baliga";"Cardiologist";0.571927
"Rahul Ramnik";"Physiotherapist";0.525791
"Raj Kubba";"Urologist";0.54553
"Raja Babu";"Cardiologist";0.746946
"Rajat Kumar";"Urologist";0.595681
"Rajeev";"Dermatologist";0.508972
"Rajvir Bhalwar";"Physiotherapist";0.54553
"Rakesh K";"Dermatologist";0.672824
"Rakesh Kochhar";"Urologist";0.766938
"Rakesh Kumar";"Urologist";0.781922
"Rakesh Parikh";"Neurologist";0.648378
"Rakshit Kumar";"Urologist";0.746946
"Rama Walia";"Physiotherapist";0.837238
"Ramchandra D. Lele";"Urologist";0.606364
"Ramesh Balwant";"Neurologist";0.607093
"Ramnath Dube";"Orthopedic Surgeon";0.606364
"Ramnath Misra";"Opthalmologist";0.767555
"Randeep Guleria";"Dermatologist";0.596046
"Ranjith Nair";"Neurologist";0.685019
"Reema Bansal";"Physiotherapist";0.624186
"Rohini";"Dermatologist";0.62672
"Rohini Kelkar";"Gynecologist";0.700636
"S.H. Advani";"Cardiologist";0.363489
"S.K. Acharya";"Cardiologist";0.501594
"S.K. Bhattacharya";"Physiotherapist";0.624186
"S.K. Bichile";"Physiotherapist";0.663109
"S.K.Jindal";"Gynecologist";0.665644
"S.Lahiri";"Urologist";0.644177
"S.P.Mathuranath";"Opthalmologist";0.582979
"S.V. Khadilkar";"Gynecologist";0.718885
"S.V. Madhu";"Orthopedic Surgeon";0.600689
"Sachin k";"Dermatologist";0.39646
"Sadhna Joglekar";"Gynecologist";0.648378
"Sandeep B";"Physiotherapist";0.547813
"Sandhya A. Kamath";"Gynecologist";0.597959
"Sanjay Jain";"Dermatologist";0.654339
"Sanjay K. Agarwal";"Cardiologist";0.550178
"Sashank R.Joshi";"Gynecologist";0.808145
"Satish Kumar ";"Neurologist";0.565158
"Shilpa S.Joshi";"Gynecologist";0.5572
"Shiva Narang";"Neurologist";0.569918
"Shobna J";"Physiotherapist";0.578414
"Shubha R";"Neurologist";0.574703
"Shyam S. Kothari";"Urologist";0.598406
"Shyam Swarup";"Cardiologist";0.621538
"Sita Naik";"Neurologist";0.704933
"Smrithi Mandhana";"Orthopedic Surgeon";0.482745
"Soneil";"Dermatologist";0.684778
"Sourabh Malviya";"Opthalmologist";0.606364
"Sri Raman Vinay";"Orthopedic Surgeon";0.624438
"Sriman Narayan";"Opthalmologist";0.565522
"Subash";"Dermatologist";0.681262
"Subhasish Kamal Guha";"Gynecologist";0.621986
"Sudeep";"Dermatologist";0.637657
"Sukumar Mukherjee";"Opthalmologist";0.728631
"Suman Kirti";"Gynecologist";0.637657
"Sundeep Khanna";"Gynecologist";0.606729
"Sunil Kumar";"Urologist";0.56744
"Sunita Maheshwari";"Urologist";0.547448
"Sunitha Maheshwari";"Orthopedic Surgeon";0.580697
"Surender Kashyap";"Gynecologist";0.602164
"Swapan Kumar";"Neurologist";0.641895
"T.S. Nagesh";"Neurologist";0.602164
"Talha Noor";"Neurologist";0.624186
"Tanvi Pal";"Neurologist";0.508972
"U.K. Misra";"Orthopedic Surgeon";0.606364
"U.L. Wagholikar";"Physiotherapist";0.501594
"U.V. Mani";"Orthopedic Surgeon";0.606112
"Uday Khopkar";"Gynecologist";0.78877
"Uma Kumar";"Urologist";0.623821
"Upendra Kaul";"Gynecologist";0.704933
"Usha K";"Physiotherapist";0.598042
"V. Balakrishnan";"Cardiologist";0.624186
"V.K. Bahl";"Cardiologist";0.635212
"V.K. Vijayan";"Physiotherapist";0.613133
"V.Mohan";"Opthalmologist";0.792275
"V.R. Joshi";"Gynecologist";0.645652
"Vaibhav";"Dermatologist";0.56928
"Vaidehi Abhinay";"Orthopedic Surgeon";0.495828
"Vandana Midha";"Opthalmologist";0.720802
"Vara Prasad";"Dermatologist";0.707417
"Veena Mittal";"Opthalmologist";0.547813
"Velu Nair";"Neurologist";0.56928
"Venu Gopal Jhanwar";"Dermatologist";0.518322
"Vibhu Mendiratta";"Opthalmologist";0.641895
"Vidhyadhar";"Physiotherapist";0.661887
"Vijay Kher";"Gynecologist";0.438387
"Vijayalakshmi B";"Physiotherapist";0.639165
"Vikas Agarwal";"Cardiologist";0.501151
"Vikram Mathew";"Opthalmologist";0.720802
"Vikram Mathews";"Orthopedic Surgeon";0.545783
"Vikram R. Lele";"Urologist";0.482745
"Vineet Kaur";"Gynecologist";0.532026
"Vinod Kumar";"Urologist";0.546226
"Vipul Mohan";"Opthalmologist";0.62672
"Vital Prasad";"Orthopedic Surgeon";0.590494
"Vivek Arya";"Cardiologist";0.693465
"Vivek Kumar";"Urologist";0.683101
"Y.K. Amdekar";"Cardiologist";0.673967
"Yash Pal";"Neurologist";0.672049
"Yash Y";"Orthopedic Surgeon";0.470823
"Yash Y. Lokhandwala";"Urologist";0.589019
" Ajay Kumar";"Urologist";0.586737
" Ashok L. Kirpalani";"Gynecologist";0.598406
"A. Muruganathan";"Neurologist";0.562623
"A. Pandey";"Neurologist";0.582615
"A.C. Ammini";"Cardiologist";0.606729
"A.C. Anand";"Cardiologist";0.701175
"A.K. Agarwal";"Cardiologist";0.56928
"A.K. Meena";"Orthopedic Surgeon";0.606729
"A.K.Hooda";"Dermatologist";0.458548
"A.K.Jaiwal";"Dermatologist";0.348484
"A.K.Meena";"Opthalmologist";0.647935
"A.K.Meenakshi";"Opthalmologist";0.547813
"A.N. Malaviya";"Urologist";0.565522
"A.S. Narula";"Neurologist";0.607093
"Abdul Hamid";"Physiotherapist";0.786487
"Abhinay Bigile";"Urologist";0.589019
"Abhinay pk";"Opthalmologist";0.718885
"Abhishek Kochar";"Gynecologist";0.647935
"Abraham Koshy";"Urologist";0.739489
"Aditya P Misra";"Opthalmologist";0.784205
"Aditya Prakash";"Orthopedic Surgeon";0.529739
"Aijaz H. Mansoor";"Orthopedic Surgeon";0.606729
"Alan F. Almeida";"Cardiologist";0.363489
"Alladi Mohan";"Opthalmologist";0.479846
"Ambrish Mithal";"Opthalmologist";0.624186
"Amit Misra P";"Opthalmologist";0.854695
"Amit Mittal";"Opthalmologist";0.56928
"Amit Vora";"Physiotherapist";0.64153
"Amita Aggarwal";"Cardiologist";0.629861
"Amith Kulkarni";"Urologist";0.668291
"Amod Gupta";"Dermatologist";0.565522
"Anath Joshi";"Gynecologist";0.504155
"Anil";"Dermatologist";0.528073
"Anil Bhansali";"Physiotherapist";0.356637
"Anita M";"Physiotherapist";0.792275
"Ankit";"Dermatologist";0.588244
"Ankur Gupta";"Dermatologist";0.529374
"Anoop Misra";"Opthalmologist";0.598406
"Anuj Kumar Bansal";"Physiotherapist";0.62672
"Aparna Agrawal";"Cardiologist";0.499754
"Aparna Palit";"Neurologist";0.595676
"Apoorva Pauranik";"Neurologist";0.663109
"Arohi Kumar";"Urologist";0.730712
"Arun C. Inamadar";"Dermatologist";0.895902
"Aryan Sunny";"Orthopedic Surgeon";0.35892
"Ashish Kumar";"Neurologist";0.690981
"Ashit M";"Physiotherapist";0.547813
"Ashok A";"Orthopedic Surgeon";0.701175
"Ashok A. Mahashur";"Urologist";0.565522
